x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.14,2013-03-14 00:00:00,QC,2013,3,14,0.3,,-3.5,,4.1,,5.2,,5.2,,0,,44,,27,,39,,0,,17.7,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.15,2013-03-15 00:00:00,QC,2013,3,15,-4.7,,-8,,-1.3,,0.6,,0,,1,,45,,10,,39,,0,,22.7,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.16,2013-03-16 00:00:00,QC,2013,3,16,-7,,-11.5,,-2.5,,0,,0,,0,,43,,29,,46,,0,,25,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.17,2013-03-17 00:00:00,QC,2013,3,17,-9.5,,-12.8,,-6.2,,1.2,,0,,0.8,,43,,27,,57,,0,,27.5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.18,2013-03-18 00:00:00,QC,2013,3,18,-11.4,,-14.6,,-8.2,,0,T,0,T,0,,43,,31,,67,,0,,29.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.19,2013-03-19 00:00:00,QC,2013,3,19,-10.8,,-15.7,,-5.8,,0,,0,,0,,,,0,,0,,0,,28.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.20,2013-03-20 00:00:00,QC,2013,3,20,-6.8,,-13.6,,0.1,,20.6,,0,,23.8,,43,,7,,54,,0,,24.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.21,2013-03-21 00:00:00,QC,2013,3,21,-1.6,,-4.6,,1.5,,0.4,,0,,0.4,,62,,21,,37,,0,,19.6,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.22,2013-03-22 00:00:00,QC,2013,3,22,-2.4,,-3.9,,-0.9,,9.6,,0,,10.4,,59,,32,,52,,0,,20.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.23,2013-03-23 00:00:00,QC,2013,3,23,-3,,-7,,1,,0.2,,0,,0.2,,55,,10,,33,,0,,21,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.24,2013-03-24 00:00:00,QC,2013,3,24,-2.1,,-7.9,,3.8,,0.2,,0,,0.2,,55,,0,,0,,0,,20.1,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.25,2013-03-25 00:00:00,QC,2013,3,25,1.9,,-1.2,,4.9,,1.2,,0,,1.2,,53,,4,,35,,0,,16.1,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.26,2013-03-26 00:00:00,QC,2013,3,26,2,,0.2,,3.8,,4.4,,3.6,,0.8,,52,,3,,32,,0,,16,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.27,2013-03-27 00:00:00,QC,2013,3,27,4.2,,2.5,,5.9,,0.8,,0.8,,0,,50,,5,,33,,0,,13.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.28,2013-03-28 00:00:00,QC,2013,3,28,2.1,,-2.5,,6.6,,0,,0,,0,,49,,35,,37,,0,,15.9,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.29,2013-03-29 00:00:00,QC,2013,3,29,-1,,-6.6,,4.7,,0,,0,,0,,48,,35,,35,,0,,19,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.30,2013-03-30 00:00:00,QC,2013,3,30,-2.8,,-9.7,,4.1,,0,,0,,0,,44,,32,,39,,0,,20.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.3.31,2013-03-31 00:00:00,QC,2013,3,31,-0.8,,-10,,8.4,,0,,0,,0,,43,,15,,33,,0,,18.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.1,2013-04-01 00:00:00,QC,2013,4,1,-0.1,,-4.5,,4.3,,10.6,,3.2,,5.4,,41,,12,,41,,0,,18.1,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.2,2013-04-02 00:00:00,QC,2013,4,2,-5,,-10.8,,0.9,,0.2,,0,,0.2,,46,,27,,61,,0,,23,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.3,2013-04-03 00:00:00,QC,2013,4,3,-7.7,,-12.4,,-3,,0,T,0,,0,T,46,,24,,46,,0,,25.7,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.4,2013-04-04 00:00:00,QC,2013,4,4,-0.4,,-5.3,,4.6,,0,,0,,0,,46,,26,,56,,0,,18.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.5,2013-04-05 00:00:00,QC,2013,4,5,0.7,,-3.4,,4.7,,0.8,,0.8,,0,T,45,,0,,0,,0,,17.3,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.6,2013-04-06 00:00:00,QC,2013,4,6,-3,,-6.2,,0.3,,0,,0,,0,,44,,28,,59,,0,,21,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.7,2013-04-07 00:00:00,QC,2013,4,7,-3.3,,-8.1,,1.6,,0,T,0,,0,T,41,,7,,39,,0,,21.3,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.8,2013-04-08 00:00:00,QC,2013,4,8,0.2,,-3.9,,4.2,,2.2,,2.2,,0,,41,,33,,37,,0,,17.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.9,2013-04-09 00:00:00,QC,2013,4,9,-0.8,,-5.4,,3.8,,0,,0,,0,,40,,0,,0,,0,,18.8,,,,,
