x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.1,1975-01-01 00:00:00,QC,1975,1,1,-8.6,,-13.3,,-3.9,,,,,,,,,,,,,,0,,26.6,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.2,1975-01-02 00:00:00,QC,1975,1,2,-9.2,,-11.7,,-6.7,,,,,,,,,,,,,,0,,27.2,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.3,1975-01-03 00:00:00,QC,1975,1,3,-10.6,,-14.4,,-6.7,,,,,,,,,,,,,,0,,28.6,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.4,1975-01-04 00:00:00,QC,1975,1,4,-16.7,,-26.1,,-7.2,,,,,,,,,,,,,,0,,34.7,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.5,1975-01-05 00:00:00,QC,1975,1,5,-13.9,,-21.1,,-6.7,,,,,,,,,,,,,,0,,31.9,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.6,1975-01-06 00:00:00,QC,1975,1,6,-12.2,,-19.4,,-5,,,,,,,,,,,,,,0,,30.2,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.7,1975-01-07 00:00:00,QC,1975,1,7,-8.6,,-13.3,,-3.9,,,,,,,,,,,,,,0,,26.6,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.8,1975-01-08 00:00:00,QC,1975,1,8,-9.2,,-14.4,,-3.9,,,,,,,,,,,,,,0,,27.2,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.9,1975-01-09 00:00:00,QC,1975,1,9,-8.9,,-16.7,,-1.1,,,,,,,,,,,,,,0,,26.9,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.10,1975-01-10 00:00:00,QC,1975,1,10,-3.1,,-6.7,,0.6,,,,,,,,,,,,,,0,,21.1,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.11,1975-01-11 00:00:00,QC,1975,1,11,-1.7,,-5.6,,2.2,,,,,,,,,,,,,,0,,19.7,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.12,1975-01-12 00:00:00,QC,1975,1,12,0.6,,-1.1,,2.2,,,,,,,,,,,,,,0,,17.4,,,,,
-67.61666666666666,49.31666666666667,GODBOUT,7042749,7042749.1975.1.13,1975-01-13 00:00:00,QC,1975,1,13,-6.7,,-10.6,,-2.8,,,,,,,,,,,,,,0,,24.7,,,,,
