date,n_pixels,n_above_18C,n_above_19C,n_above_20C,n_above_21C,n_above_22C,n_above_23C,n_above_24C,n_above_25C,n_above_26C,n_above_27C,n_above_28C,n_above_29C,n_above_30C,n_above_31C,n_above_32C,n_above_33C,n_above_34C,n_above_35C
1982-01-01,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-02,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-03,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-04,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-05,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-06,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-07,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-08,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-09,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-10,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-11,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-12,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-13,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-14,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-15,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-16,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-17,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-18,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-19,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-20,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-21,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-22,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-23,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-24,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-25,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-26,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-27,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-28,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-29,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-30,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-31,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-01,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-02,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-03,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-04,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-05,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-06,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-07,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-08,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-09,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-10,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-11,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-12,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-13,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-14,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-15,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-16,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-17,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-18,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-19,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-20,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-21,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-22,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-23,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-24,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-25,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-26,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-27,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-02-28,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-01,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-02,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-03,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-04,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-05,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-06,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-07,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-08,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-09,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-10,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-11,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-12,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-13,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-14,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-15,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-16,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-17,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-18,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-19,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-20,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-21,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-22,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-23,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-24,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-25,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-26,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-27,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-28,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-29,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-30,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-03-31,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-01,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-02,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-03,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-04,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-05,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-06,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-07,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-08,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-09,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-10,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-11,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-12,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-13,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-14,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-15,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-16,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-17,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-18,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-19,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-20,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-21,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-22,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-23,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-24,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-25,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-26,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-27,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-28,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-29,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-04-30,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-05-01,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-05-02,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-05-03,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-05-04,204666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
